Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.164,1.683,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.087,1.81,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.102,1.689,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,0.985,1.481,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.158,1.767,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.077,1.635,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.138,1.681,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.095,1.649,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.02,1.674,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,2,1,NA,NA,NA,1.175,1.88,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.204,1.901,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.113,1.662,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.005,1.568,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.947,1.484,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.121,1.631,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.879,1.39,NA,NA,Sprat,Clupeidae,Sprattus sprattus
